"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS","norm_all","stan_all","norm_yr","stan_yr"
"1",7,2012,7,1,"2012-07-01",83.6,63,1008.9,9.7,4.1,9.9,18.1,93,66,0,999.9,0,538,0.416119962511715,-0.172782680166231,0.529801324503311,-0.0996047273680093
"2",1,2012,7,2,"2012-07-02",80.3,54.1,1011.6,10,3.8,15,999.9,88,66.9,0,999.9,0,564,0.440487347703843,0.0166003894114966,0.58719646799117,0.207226577029
"3",2,2012,7,3,"2012-07-03",79.8,56.7,1012.8,10,2.9,12,999.9,88,63,0,999.9,0,664,0.534208059981256,0.744996810864295,0.80794701986755,1.38734697855596
"4",3,2012,7,4,"2012-07-04",81.8,65.6,1009.1,9.2,3.6,11.1,999.9,91,68,0.06,999.9,0,432,0.316776007497657,-0.944882886906197,0.295805739514349,-1.35053235298658
"5",4,2012,7,5,"2012-07-05",86.7,64.3,1007.4,9.4,3.8,15,999.9,93.9,70,99.99,999.9,0,591,0.465791940018744,0.213267423203752,0.646799116997792,0.525859085441278
"6",5,2012,7,6,"2012-07-06",81.9,62.3,1011.7,10,3.1,9.9,999.9,91,66.9,0,999.9,0,638,0.509840674789128,0.555613741286567,0.750551876379691,1.08051567415895
"7",6,2012,7,7,"2012-07-07",84.9,65.9,1010.1,9.5,3.1,14,17.1,95,70,0,999.9,0,490,0.371134020618557,-0.522412962463574,0.423841059602649,-0.666062520100949
"8",7,2012,7,8,"2012-07-08",80.6,65.5,1010.1,8.5,3.1,8,15.9,90,70,0.59,999.9,0,464,0.346766635426429,-0.711796032041301,0.36644591611479,-0.972893824497958
"9",1,2012,7,9,"2012-07-09",78.5,56.8,1012.7,10,3.5,9.9,999.9,84,68,0.09,999.9,0,533,0.411433926897844,-0.209202501238871,0.518763796909492,-0.158610747444357
"10",2,2012,7,10,"2012-07-10",76.5,56.3,1016,10,3.4,9.9,999.9,86,61,0,999.9,0,524,0.402999062792877,-0.274758179169623,0.498896247240618,-0.264821583581783
"11",3,2012,7,11,"2012-07-11",77.1,62,1019.9,10,1.9,7,999.9,84,64.9,0,999.9,0,565,0.441424554826617,0.0238843536260246,0.589403973509934,0.219027781044269
"12",4,2012,7,12,"2012-07-12",77.4,60.2,1021.7,10,2.3,7,999.9,88,57,0,999.9,0,577,0.452671040299906,0.11129192420036,0.615894039735099,0.360642229227504
"13",5,2012,7,13,"2012-07-13",78.9,60.7,1021.8,9.9,3,7,999.9,87.1,63,0,999.9,0,603,0.477038425492034,0.300674993778088,0.673289183222958,0.667473533624513
"14",6,2012,7,14,"2012-07-14",78.5,62.7,1021.6,10,3.5,13,19,82,68,0,999.9,1,536,0.414245548266167,-0.187350608595287,0.525386313465784,-0.123207135398548
"15",7,2012,7,15,"2012-07-15",79.7,68.6,1018.3,9.1,2.8,13,999.9,87.1,70,0,999.9,0,494,0.374882849109653,-0.493277105605462,0.432671081677704,-0.618857704039871
"16",1,2012,7,16,"2012-07-16",79,67.9,1011.5,9.2,4,14,22,91,70,0.26,999.9,0,528,0.406747891283974,-0.245622322311511,0.507726269315673,-0.217616767520705
"17",2,2012,7,17,"2012-07-17",84.6,63.3,1009.3,9.4,3.5,9.9,18.1,93.9,70,0,999.9,0,648,0.51921274601687,0.628453383431847,0.772626931567329,1.19852771431164
"18",3,2012,7,18,"2012-07-18",85.3,69.1,1008.9,7.2,3.7,13,20,100,73,0,999.9,1,559,0.435801312089972,-0.0198194316611433,0.576158940397351,0.148220556952652
"19",4,2012,7,19,"2012-07-19",73.3,67.2,1013.2,7.5,3.4,15,18.1,75.9,68,1.76,999.9,0,522,0.401124648547329,-0.289326107598678,0.494481236203091,-0.288423991612323
"20",5,2012,7,20,"2012-07-20",67.2,62.8,1014.9,7.4,6.5,13,21,73.9,61,0.17,999.9,0,604,0.477975632614808,0.307958957992616,0.675496688741722,0.679274737639783
"21",6,2012,7,21,"2012-07-21",68.1,58.5,1018.3,9.8,4.1,12,999.9,77,57.9,0.43,999.9,0,528,0.406747891283974,-0.245622322311511,0.507726269315673,-0.217616767520705
"22",7,2012,7,22,"2012-07-22",72.5,59.4,1020.3,10,2,8,999.9,82,54,0,999.9,0,498,0.37863167760075,-0.46414124874735,0.441501103752759,-0.571652887978792
"23",1,2012,7,23,"2012-07-23",76,67.2,1016.9,8.9,3,13,999.9,86,64,0,999.9,0,505,0.385192127460169,-0.413153499245654,0.456953642384106,-0.489044459871905
"24",2,2012,7,24,"2012-07-24",80.3,67.3,1005.4,8.1,6,15,18.1,90,70,0.15,999.9,0,574,0.449859418931584,0.0894400315567764,0.609271523178808,0.325238617181695
"25",3,2012,7,25,"2012-07-25",76.5,53.5,1009.7,10,4.2,19,999.9,84.9,66.9,0,999.9,0,612,0.485473289597001,0.36623067170884,0.693156732891832,0.773684369761939
"26",4,2012,7,26,"2012-07-26",78,62.4,1007,8.9,4.3,13,29.9,87.1,66.9,0,999.9,1,604,0.477975632614808,0.307958957992616,0.675496688741722,0.679274737639783
"27",5,2012,7,27,"2012-07-27",76.6,69.3,1007,9.1,4.4,14,999.9,87.1,70,0.6,999.9,0,638,0.509840674789128,0.555613741286567,0.750551876379691,1.08051567415895
"28",6,2012,7,28,"2012-07-28",75.5,69.6,1012.2,7,3.9,8,15.9,84,68,0,999.9,1,513,0.392689784442362,-0.35488178552943,0.474613686534216,-0.394634827749749
"29",7,2012,7,29,"2012-07-29",71.7,66.1,1015.1,9.4,3.2,12,15.9,79,66.9,0.18,999.9,0,376,0.264292408622306,-1.35278488291976,0.172185430463576,-2.01139977784168
"30",1,2012,7,30,"2012-07-30",73.1,65.1,1018.6,10,2.2,8.9,999.9,79,64.9,0.01,999.9,0,530,0.408622305529522,-0.231054393882455,0.512141280353201,-0.194014359490166
"31",2,2012,7,31,"2012-07-31",73.4,64.3,1016.7,10,3.8,14,999.9,80.1,60.1,0,999.9,0,540,0.417994376757263,-0.158214751737175,0.534216335540839,-0.0760023193374701
"32",3,2012,8,1,"2012-08-01",72.2,68.4,1012.4,7.8,2.5,9.9,999.9,78.1,66.9,0.55,999.9,1,616,0.489222118088097,0.395366528566952,0.701986754966887,0.820889185823018
"33",4,2012,8,2,"2012-08-02",75,68.4,1011.3,6.2,2.7,11.1,999.9,87.1,66.2,0.11,999.9,1,570,0.446110590440487,0.0603041746986645,0.600441501103753,0.278033801120617
"34",5,2012,8,3,"2012-08-03",77.9,70.8,1015.3,6,4.4,13,18.1,89.1,69.1,0,999.9,1,589,0.463917525773196,0.198699494774696,0.642384105960265,0.502256677410739
"35",6,2012,8,4,"2012-08-04",77.9,71.7,1021.1,5.7,4.1,11.1,18.1,90,71.1,0,999.9,1,568,0.444236176194939,0.0457362462696086,0.596026490066225,0.254431393090078
"36",7,2012,8,5,"2012-08-05",78.1,72.4,1019.7,5.8,6.1,15,22.9,91,69.1,0,999.9,1,518,0.397375820056232,-0.31846196445679,0.485651214128035,-0.335628807673401
"37",1,2012,8,6,"2012-08-06",77.3,66.9,1015.7,8.9,5.5,15,22,86,71.1,0.49,999.9,0,593,0.467666354264292,0.227835351632808,0.65121412803532,0.549461493471817
"38",2,2012,8,7,"2012-08-07",75.2,58.1,1015.7,10,1.2,9.9,999.9,82.9,63,0.01,999.9,0,547,0.424554826616682,-0.107227002235479,0.549668874172185,0.00660610876941692
"39",3,2012,8,8,"2012-08-08",77.8,67.1,1014.7,8.8,1.1,8,999.9,86,64,0,999.9,0,528,0.406747891283974,-0.245622322311511,0.507726269315673,-0.217616767520705
"40",4,2012,8,9,"2012-08-09",78.2,69.6,1013.6,9.3,2.3,7,15,88,61,0,999.9,0,581,0.456419868791003,0.140427781058472,0.624724061810154,0.407847045288583
"41",5,2012,8,10,"2012-08-10",75.3,71.3,1011.6,7.6,5.4,20,23.9,79,66.2,0,999.9,1,617,0.490159325210872,0.40265049278148,0.704194260485651,0.832690389838287
"42",6,2012,8,11,"2012-08-11",77.7,71.5,1010.2,7.8,6.9,16.9,28,87.1,71.1,1.1,999.9,0,507,0.387066541705717,-0.398585570816598,0.461368653421634,-0.465442051841366
"43",7,2012,8,12,"2012-08-12",77.8,65.4,1012.5,8.7,5.7,22,29.9,84.9,69.8,0.62,999.9,0,505,0.385192127460169,-0.413153499245654,0.456953642384106,-0.489044459871905
"44",1,2012,8,13,"2012-08-13",76.3,61.2,1014.6,9.2,4.3,13,999.9,86,69.1,0.05,999.9,0,504,0.384254920337395,-0.420437463460182,0.454746136865342,-0.500845663887175
"45",2,2012,8,14,"2012-08-14",76,62.6,1014,9.6,2.3,9.9,999.9,81,69.1,0,999.9,0,520,0.399250234301781,-0.303894036027734,0.490066225165563,-0.312026399642862
"46",3,2012,8,15,"2012-08-15",73.6,68.9,1011.5,6.5,3.5,9.9,999.9,81,66.2,0.01,999.9,1,602,0.47610121836926,0.29339102956356,0.671081677704194,0.655672329609244
"47",4,2012,8,16,"2012-08-16",74,64.3,1011.9,6.7,3.1,13,15,84.9,66,0.15,999.9,1,613,0.486410496719775,0.373514635923368,0.695364238410596,0.785485573777209
"48",5,2012,8,17,"2012-08-17",77.9,60.7,1010.6,9.5,3.3,15,17.1,88,69.1,0,999.9,0,574,0.449859418931584,0.0894400315567764,0.609271523178808,0.325238617181695
