day,year,mo,da,pickup_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_TRIPS
6,2011,01,01,2011-01-01,44.8,31.9,1019.4,6.1,3.1,7.0,999.9,52.0,41.0,0.0,13.0,0,183030
7,2011,01,02,2011-01-02,48.3,42.0,1013.9,6.2,2.4,6.0,999.9,51.1,44.6,0.01,11.8,1,158706
1,2011,01,03,2011-01-03,33.7,14.6,1018.1,10.0,8.5,13.0,25.1,46.0,28.0,0.0,9.1,0,374927
2,2011,01,04,2011-01-04,33.9,15.0,1016.1,9.9,5.6,8.9,15.9,39.9,30.9,0.0,5.9,0,407012
3,2011,01,05,2011-01-05,35.6,18.0,1009.9,10.0,5.6,9.9,17.1,37.9,33.1,0.0,5.1,0,439070
4,2011,01,06,2011-01-06,30.1,14.9,1006.5,10.0,2.3,6.0,999.9,33.1,27.0,0.0,3.9,0,476390
5,2011,01,07,2011-01-07,31.4,22.1,998.8,5.6,4.1,8.0,14.0,33.8,30.0,0.0,2.0,1,486988
6,2011,01,08,2011-01-08,26.9,19.2,996.6,8.0,3.0,8.0,999.9,30.0,24.1,0.19,1.2,0,500272
7,2011,01,09,2011-01-09,28.0,14.7,1006.8,9.6,9.1,15.0,24.1,30.9,26.1,0.0,3.1,0,451117
1,2011,01,10,2011-01-10,28.4,13.0,1020.9,10.0,8.2,12.0,22.9,34.0,25.0,0.0,2.0,0,449946
2,2011,01,11,2011-01-11,27.2,17.1,1022.6,10.0,4.8,8.9,999.9,30.9,23.0,0.0,2.0,0,471811
3,2011,01,12,2011-01-12,27.3,19.9,1004.6,4.9,9.3,14.0,25.1,30.9,24.1,0.66,2.0,1,361127
4,2011,01,13,2011-01-13,25.6,11.0,1016.9,10.0,9.7,15.0,22.0,30.0,21.9,0.61,9.1,0,488565
5,2011,01,14,2011-01-14,22.0,8.8,1025.8,10.0,5.5,11.1,18.1,28.9,18.0,0.0,7.9,0,512868
6,2011,01,15,2011-01-15,28.4,14.9,1021.3,9.6,4.5,12.0,15.9,37.9,24.1,0.0,7.1,0,485503
7,2011,01,16,2011-01-16,33.4,15.8,1015.8,9.8,6.4,13.0,20.0,37.0,30.0,0.0,5.9,0,446699
1,2011,01,17,2011-01-17,24.2,6.7,1025.7,10.0,5.8,8.9,15.9,28.9,19.9,0.0,5.1,0,386391
2,2011,01,18,2011-01-18,31.3,26.0,1014.6,3.8,9.0,14.0,24.1,41.0,24.1,0.4,3.9,0,442217
3,2011,01,19,2011-01-19,37.5,33.7,1005.0,7.5,4.2,8.9,15.0,41.0,35.1,0.93,5.1,0,477235
4,2011,01,20,2011-01-20,32.6,19.0,1015.2,10.0,6.4,9.9,17.1,37.9,30.0,0.01,2.0,0,501964
5,2011,01,21,2011-01-21,28.8,17.8,1004.8,7.2,6.9,15.0,24.1,32.0,24.1,0.4,1.2,1,504589
6,2011,01,22,2011-01-22,18.7,2.1,1013.5,10.0,5.7,9.9,20.0,24.1,14.0,0.01,5.9,0,541375
7,2011,01,23,2011-01-23,19.4,2.2,1015.3,10.0,7.3,12.0,21.0,24.1,16.0,0.0,5.9,0,469484
1,2011,01,24,2011-01-24,12.6,-4.4,1029.5,10.0,6.0,9.9,18.1,19.9,6.1,0.0,5.9,0,443065
2,2011,01,25,2011-01-25,28.6,17.3,1023.4,7.3,3.9,8.9,15.9,36.0,21.0,0.0,5.9,1,451381
3,2011,01,26,2011-01-26,32.1,26.4,1015.7,4.2,6.6,15.9,22.9,36.0,30.0,0.05,5.9,1,410620
4,2011,01,27,2011-01-27,31.9,25.9,1006.1,3.4,4.1,15.0,26.0,35.1,28.9,1.95,3.9,1,315655
5,2011,01,28,2011-01-28,31.6,21.9,1010.6,7.5,3.1,7.0,999.9,34.0,28.9,0.09,22.8,0,450996
6,2011,01,29,2011-01-29,31.8,23.7,1012.8,6.1,3.9,7.0,999.9,35.1,28.9,0.0,20.1,0,508017
7,2011,01,30,2011-01-30,32.5,23.6,1017.7,6.8,4.5,9.9,15.0,37.9,28.9,0.01,18.9,0,443204
1,2011,01,31,2011-01-31,27.3,11.5,1028.9,10.0,5.0,7.0,17.1,33.1,21.9,0.0,18.1,0,424772
2,2011,02,01,2011-02-01,26.8,19.9,1026.9,4.4,7.2,13.0,18.1,28.9,24.8,0.06,16.9,0,450558
3,2011,02,02,2011-02-02,30.8,28.6,1016.6,3.6,6.3,14.0,19.0,36.0,26.1,0.57,18.1,0,444931
4,2011,02,03,2011-02-03,30.5,14.3,1021.3,10.0,9.2,18.1,33.0,37.9,24.1,0.24,16.9,0,497558
5,2011,02,04,2011-02-04,28.3,10.5,1024.6,10.0,5.4,11.1,19.0,33.1,23.0,0.0,16.1,0,523507
6,2011,02,05,2011-02-05,33.4,25.9,1014.1,5.7,4.0,8.9,15.9,36.0,30.9,0.0,16.1,1,543523
7,2011,02,06,2011-02-06,40.0,28.3,1007.9,9.0,7.6,15.0,26.0,44.1,37.0,0.21,15.0,1,451016
1,2011,02,07,2011-02-07,39.4,26.3,1015.6,9.3,3.8,9.9,999.9,44.1,36.0,0.0,15.0,0,442577
2,2011,02,08,2011-02-08,36.3,27.1,1006.6,7.2,9.0,17.1,28.0,41.0,25.0,0.23,13.0,0,495221
3,2011,02,09,2011-02-09,21.5,2.7,1021.4,10.0,8.9,21.0,28.9,28.9,15.1,0.01,11.0,0,522735
4,2011,02,10,2011-02-10,26.3,4.5,1016.5,10.0,6.5,9.9,20.0,28.0,23.0,0.0,9.8,0,541334
5,2011,02,11,2011-02-11,26.5,3.9,1020.5,10.0,5.8,9.9,17.1,36.0,19.0,0.0,9.8,0,568193
6,2011,02,12,2011-02-12,34.2,15.1,1013.5,10.0,6.7,12.0,22.0,39.0,32.0,0.0,7.9,0,592896
7,2011,02,13,2011-02-13,35.4,14.8,1016.9,10.0,6.5,12.0,21.0,45.0,28.9,0.0,7.9,0,494049
1,2011,02,14,2011-02-14,48.0,25.4,1002.6,10.0,10.2,15.9,31.1,57.0,43.0,0.0,7.9,0,499431
